# Positions where our search diverges from the C++ reference.
#
# deal    the deal, in the reference's own file format, with trump and opening
#         leader appended so both solvers do exactly one search
# trump   trump suit for that search (N = notrump)
# lead    opening leader
# line    xray trace line of the first divergence, with `remaining=[...]`
#         normalised out (the two solvers format that field differently)
# iter    xray iteration of that line
# cache   xray iteration at which the cache digests first differ (-C 10)
# mech    the trace record type where they part company
#
# Every row is one search from a cold cache, so it reproduces standalone: no
# preceding cells, no shared cache state, no ordering to set up.
#
# ALL SEVEN ARE NOW IN LOCK-STEP, trace and caches both, to 200,000 iterations.
# They are kept as regression cases: every row must report `none`.
#
# Over the 200-deal corpus, 148 of 200 deals now match the reference node for
# node. The 52 that do not are listed in `residual.tsv`; every fixture here is
# a notrump lead-West cell, so the trump-contract paths have never been under
# a fixture at all, and that is where to look next.
#
# deal	trump	lead	line	iter	cache	mech
deal.72	N	W	-	-	-	FIXED
deal.12	N	W	-	-	-	FIXED
deal.1	N	W	-	-	-	FIXED
deal.10	N	W	-	-	-	FIXED
deal.4	N	W	-	-	-	FIXED
deal.134	N	W	-	-	-	FIXED
deal.38	N	W	-	-	-	FIXED
