deal	ours_ms	dds_ms	ref_ms
901	21.710	24.556	21.944
902	123.887	153.973	112.803
903	116.733	66.944	106.610
904	183.718	152.265	172.307
905	76.324	51.801	75.635
906	59.652	30.751	55.961
907	141.751	111.954	127.215
908	150.076	160.785	136.710
909	74.829	53.906	66.896
910	40.060	9.744	38.513
911	183.873	179.341	179.470
912	25.868	22.887	27.367
913	332.350	310.412	315.812
914	57.565	56.996	56.981
915	15.912	19.313	15.947
916	609.870	1143.698	557.479
917	17.353	17.224	18.116
918	179.203	283.356	162.932
919	85.196	117.666	78.955
920	110.443	76.995	98.846
921	89.924	70.780	84.937
922	92.499	106.808	88.783
923	136.653	131.330	128.014
924	48.175	24.740	48.070
925	35.982	26.003	35.822
926	31.039	32.243	29.640
927	19.406	12.322	20.311
928	56.526	42.055	52.907
929	163.270	120.150	145.454
930	153.317	303.149	142.215
931	63.242	58.784	60.677
932	41.521	61.216	40.499
933	81.910	81.301	76.045
934	145.891	127.497	131.302
935	13.476	19.009	14.500
936	146.193	141.152	141.908
937	18.311	26.287	18.393
938	87.646	67.731	85.935
939	93.146	62.398	90.069
940	64.590	88.128	61.063
941	95.390	150.534	91.375
942	582.492	392.434	487.967
943	41.584	28.347	39.421
944	112.499	99.454	104.250
945	290.854	242.609	268.297
946	172.861	201.535	161.908
947	46.775	37.965	47.247
948	12.713	7.086	13.392
949	85.631	69.730	84.417
950	144.937	143.314	134.066
951	371.102	444.416	315.586
952	15.074	10.758	15.872
953	92.668	117.577	88.815
954	146.478	138.786	140.401
955	199.336	206.889	183.611
956	152.649	204.325	136.566
957	105.138	85.757	96.835
958	264.038	277.146	239.239
959	40.578	26.398	41.756
960	36.502	36.485	36.608
961	42.519	32.120	41.062
962	47.310	42.947	47.492
963	67.848	74.993	67.347
964	32.300	25.385	29.084
965	161.052	135.149	146.739
966	151.474	139.332	140.112
967	85.755	100.895	82.266
968	191.997	238.006	174.790
969	16.899	10.521	17.143
970	682.722	751.478	625.108
971	156.138	95.940	133.801
972	91.081	61.090	83.383
973	15.235	13.688	16.396
974	15.658	20.195	16.120
975	84.492	88.656	80.822
976	55.108	91.579	53.092
977	128.830	92.432	117.305
978	43.753	24.401	42.935
979	38.345	18.401	37.594
980	54.730	31.466	52.134
981	45.901	39.185	45.615
982	786.523	835.457	698.478
983	154.606	205.931	145.996
984	141.145	154.796	131.575
985	144.666	111.619	138.118
986	67.964	51.975	65.847
987	84.996	50.463	80.445
988	157.925	151.857	147.226
989	76.887	50.661	73.950
990	44.878	33.166	43.160
991	45.616	27.231	45.425
992	42.175	23.303	43.090
993	84.640	43.253	76.147
994	94.381	63.331	90.401
995	8.117	9.360	8.906
996	127.661	88.180	113.273
997	339.634	264.265	316.394
998	27.397	35.177	28.462
999	53.144	43.169	51.244
1000	229.057	225.189	209.048
1001	13.810	12.635	14.420
1002	248.720	185.181	203.738
1003	56.934	150.890	54.388
1004	73.248	26.090	67.836
1005	29.811	18.056	29.750
1006	306.414	254.505	271.366
1007	61.684	56.784	62.802
1008	60.493	35.044	61.972
1009	52.834	43.480	52.458
1010	124.652	110.210	120.528
1011	83.276	52.711	79.203
1012	48.852	38.631	47.519
1013	61.878	33.703	63.801
1014	335.528	206.050	311.555
1015	664.899	463.120	601.178
1016	46.354	54.259	44.755
1017	290.261	189.269	259.040
